"Tissue","group","cell_type","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","change","isTissuespecific","isCellTypespecific"
"1","Bladder","old vs mid","Basal cell","S100A11",4.88e-97,-3.443635065,0.562,0.833,8.32e-93,"DOWN",FALSE,FALSE
"2","Bladder","old vs mid","Basal cell","S100P",2.98e-91,-4.444206906,0.312,0.673,5.07e-87,"DOWN",FALSE,FALSE
"3","Bladder","old vs mid","Basal cell","HSPA1A",1.58e-77,3.601420389,0.841,0.1,2.69e-73,"UP",FALSE,FALSE
"4","Bladder","old vs mid","Basal cell","CSTB",2.06e-76,-2.461640225,0.443,0.767,3.51e-72,"DOWN",FALSE,FALSE
"5","Bladder","old vs mid","Basal cell","CD9",9.71e-76,-2.740191476,0.221,0.6,1.66e-71,"DOWN",FALSE,FALSE
"6","Bladder","old vs mid","Basal cell","KRT17",1.43e-75,-3.508253081,0.272,0.587,2.44e-71,"DOWN",FALSE,FALSE
"7","Bladder","old vs mid","Basal cell","FXYD3",5.06e-71,-2.631219824,0.168,0.527,8.63e-67,"DOWN",FALSE,FALSE
"8","Bladder","old vs mid","Basal cell","PHLDA2",4.4e-70,-2.959421822,0.218,0.52,7.5e-66,"DOWN",FALSE,FALSE
"9","Bladder","old vs mid","Basal cell","TACSTD2",1.78e-69,-2.7233871,0.102,0.587,3.04e-65,"DOWN",FALSE,FALSE
"10","Bladder","old vs mid","Basal cell","GSTP1",8.28e-68,-1.881961635,0.63,0.927,1.41e-63,"DOWN",FALSE,FALSE
"11","Bladder","old vs mid","Basal cell","ANXA2",4.83e-63,-2.100219179,0.414,0.767,8.23e-59,"DOWN",FALSE,FALSE
"12","Bladder","old vs mid","Basal cell","AGR2",6.55e-61,-2.33909861,0.063,0.52,1.12e-56,"DOWN",FALSE,FALSE
"13","Bladder","old vs mid","Basal cell","LGALS3",7.06e-59,-1.810081599,0.269,0.58,1.2e-54,"DOWN",FALSE,TRUE
"14","Bladder","old vs mid","Basal cell","DNAJB1",3.86e-58,2.971560098,0.812,0.18,6.57e-54,"UP",FALSE,FALSE
"15","Bladder","old vs mid","Basal cell","FABP4",1.74e-57,-4.105213843,0.12,0.567,2.96e-53,"DOWN",FALSE,FALSE
"16","Bladder","old vs mid","Basal cell","LY6D",3.37e-56,-3.393181961,0.131,0.513,5.75e-52,"DOWN",FALSE,FALSE
"17","Bladder","old vs mid","Basal cell","UQCRQ",3.63e-56,-1.593779535,0.584,0.827,6.19e-52,"DOWN",FALSE,FALSE
"18","Bladder","old vs mid","Basal cell","CXCL8",2.71e-55,-3.284561664,0.285,0.633,4.62e-51,"DOWN",FALSE,FALSE
"19","Bladder","old vs mid","Basal cell","GPX2",4.07e-55,-2.228932566,0.107,0.487,6.94e-51,"DOWN",FALSE,FALSE
"20","Bladder","old vs mid","Basal cell","TXN",5.11e-55,-1.785126553,0.526,0.8,8.72e-51,"DOWN",FALSE,FALSE
"21","Bladder","old vs mid","Basal cell","KRT8",6.67e-52,-2.051949321,0.085,0.513,1.14e-47,"DOWN",FALSE,FALSE
"22","Bladder","old vs mid","Basal cell","KRT13",3.02e-50,-2.83901113,0.14,0.507,5.15e-46,"DOWN",FALSE,FALSE
"23","Bladder","old vs mid","Basal cell","MT-CO2",4.75e-50,-1.70296872,0.996,1,8.1e-46,"DOWN",FALSE,FALSE
"24","Bladder","old vs mid","Basal cell","MGST1",5.72e-50,-1.969484681,0.058,0.48,9.75e-46,"DOWN",FALSE,FALSE
"25","Bladder","old vs mid","Basal cell","CST3",1.1e-49,-3.494140734,0.357,0.653,1.87e-45,"DOWN",FALSE,FALSE
"26","Bladder","old vs mid","Basal cell","MT-ND4",1.42e-49,-1.754355051,0.99,1,2.42e-45,"DOWN",FALSE,FALSE
"27","Bladder","old vs mid","Basal cell","PERP",1.46e-49,-1.665651077,0.124,0.467,2.49e-45,"DOWN",FALSE,FALSE
