scRNA		
Tissue	Cell type	Marker gene
bladder	myo-CAFs (mCAFs)	RGS5
bladder	Myeloid cells	LYZ
bladder	Mast cells	TPSAB1
bladder	Epithelial cells	EPCAM
bladder	Epithelial cell	KRT18
bladder	Epithelial cell	KRT19
bladder	Fibroblast	S100A4
bladder	Fibroblast	COL3A1
bladder	Fibroblast	COL1A1
bladder	Fibroblast	COL1A2
bladder	Endothelial  cells	CD31
bladder	Endothelial cell	SELE
bladder	Endothelial cell	PECAM1
bladder	Endothelial cell	VCAM1
bladder	Endothelial cell	CDH5
bladder	Monocyte	LYZ
bladder	Monocyte	MS4A7
bladder	Monocyte	CD14
bladder	T cell	CD3D
bladder	T cell	CD3E
bladder	B cell	MZB1
bladder	B cell	CD79A
Blood	naive B cells(B1)	MS4A1
Blood	naive B cells	TCL1A
Blood	naive B cells	CD37
Blood	naive B cells	IGHD
Blood	naive  CD4+ T cells	CCR7
Blood	naive  CD4+ T cells	SELL
Blood	naive  CD4+ T cells	CD4
Blood	Activated CD8+ T cells(CD8a)	CD8B
Blood	Activated CD8+ T cells(CD8a)	CCL5
Blood	γδ T cells	TRDC
Blood	megakaryocytes	PPBP
Blood	megakaryocytes	ITGB3
Blood	megakaryocytes	CD61
Blood	megakaryocytes	CMTM5
Blood	mDC type 2 (mDC2)	FCER1A
Blood	mDC type 2 (mDC2)	CD1C
Blood	mDC type 2 (mDC2)	CLEC10A
Blood	Granulocytes(granulo)	S100A8
Blood	Granulocytes(granulo)	S100A9
Blood	Blood-derived monocyte cells(Mono1)	FCGR3A
Blood	Blood-derived monocyte cells(Mono2)	CD16
Blood	Plasmacytoid dendritic cells(pDC)	TCF4
Blood	Plasmacytoid dendritic cells(pDC)	E2-2
Blood	Plasmacytoid dendritic cells(pDC)	DR6
Blood	Plasmacytoid dendritic cells(pDC)	TNFRSF21
Blood	T-cell 2(TC2)	TRAC
Bone-Marrow	CD4+ naive T	CCR7
Bone-Marrow	CD4+ naive T	ITGA2
Bone-Marrow	CD4+ naive T	CD49B
Bone-Marrow	CD14+ monocytes	CD14
Bone-Marrow	CD20+ B	MS4A1
Bone-Marrow	CD20+ B	CD20
Bone-Marrow	NK	EOMES
Bone-Marrow	NK	PRF1
Bone-Marrow	NK	NKG7
Bone-Marrow	NK	KIR
Bone-Marrow	CD16+ monocytes	FCGR3A
Bone-Marrow	CD16+ monocytes	CD16
Bone-Marrow	Dendritic	CLEC4C
Bone-Marrow	Dendritic	IL3RA
Bone-Marrow	Dendritic	NRP1
Bone-Marrow	Monocyte progenitors	CD38
Bone-Marrow	Monocyte progenitors	CD34
Bone-Marrow	Monocyte progenitors	CD123
Bone-Marrow	Monocyte progenitors	IL3RA
Bone-Marrow	Plasmacytoid dendritic	GZMB
Bone-Marrow	Plasmacytoid dendritic	IL3RA
Bone-Marrow	Plasmacytoid dendritic	CD123
Bone-Marrow	Plasma	SDC1
Bone-Marrow	Plasma	CD138
Bone-Marrow	Plasma	CD319
Bone-Marrow	Plasma	SLAMF7
Brain	Endothelial	CLDN5
Brain	Endothelial	VTN
Brain	Astrocytes	GLUL
Brain	Astrocytes	SOX9
Brain	Astrocytes	AQP4
Brain	Astrocytes	GJA1
Brain	Astrocytes	NDRG2
Brain	Astrocytes	GFAP
Brain	Astrocytes	ALDH1A1
Brain	Astrocytes	ALDH1L1
Brain	Astrocytes	VIM
Brain	OPCs	PTGDS
Brain	OPCs	PDGFRA
Brain	OPCs	PCDH15
Brain	OPCs	OLIG2
