"Tissue","Cell_type","Category","Change","Chromosome","Start","End","Annotation","Gene.ID","Symbol","Correlated_Start","Correlated_End","Correlated_Annotation","Correlated_Gene.ID","Correlated_Symbol","Correlation"
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",2494158,2494658,"Distal Intergenic",4616,"GADD45B",2461930,2462430,"Promoter (<=1kb)",101928602,"LINC01775",0.55172975
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr4",2793503,2794003,"Promoter (<=1kb)",6452,"SH3BP2",2791755,2792255,"Promoter (<=1kb)",6452,"SH3BP2",0.606002317
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr4",2793503,2794003,"Promoter (<=1kb)",6452,"SH3BP2",2792717,2793217,"Promoter (<=1kb)",6452,"SH3BP2",0.573049027
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr16",3021698,3022198,"Promoter (1-2kb)",51330,"TNFRSF12A",3029486,3029986,"Promoter (1-2kb)",146439,"BICDL2",0.627020905
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",3573738,3574238,"Promoter (<=1kb)",126321,"MFSD12",3580054,3580554,"Distal Intergenic",10362,"HMG20B",0.592276513
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",3573738,3574238,"Promoter (<=1kb)",126321,"MFSD12",3527522,3528022,"Promoter (1-2kb)",51343,"FZR1",0.530198825
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr4",7941301,7941801,"Promoter (1-2kb)",60312,"AFAP1",7905486,7905986,"Intron (ENST00000420658.6/60312, intron 1 of 17)",389199,"LOC389199",0.503652101
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",13212506,13213006,"Promoter (<=1kb)",2012,"EMP1",13217850,13218350,"3' UTR",2012,"EMP1",0.566296666
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",13217850,13218350,"3' UTR",2012,"EMP1",13220820,13221320,"Distal Intergenic",2012,"EMP1",0.554294311
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",13217850,13218350,"3' UTR",2012,"EMP1",13203451,13203951,"Intron (ENST00000431267.2/2012, intron 1 of 2)",2012,"EMP1",0.665083098
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",13217850,13218350,"3' UTR",2012,"EMP1",13212506,13213006,"Promoter (<=1kb)",2012,"EMP1",0.566296666
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",13217850,13218350,"3' UTR",2012,"EMP1",13215071,13215571,"Promoter (1-2kb)",2012,"EMP1",0.664263492
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",13217850,13218350,"3' UTR",2012,"EMP1",13206285,13206785,"Intron (ENST00000431267.2/2012, intron 1 of 2)",2012,"EMP1",0.670625769
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr3",15645959,15646459,"3' UTR",686,"BTD",15646899,15647399,"3' UTR",686,"BTD",0.571203398
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr3",15646899,15647399,"3' UTR",686,"BTD",15645959,15646459,"3' UTR",686,"BTD",0.571203398
