Tissue	group_name	seqnames	start	end	strand	name
Adipose-Visceral	Adipocytes	chr7	128241284	128257628	-	LEP
Adipose-Visceral	Adipocytes	chr3	186842690	186858463	-	ADIPOQ
Adipose-Visceral	Adipocytes	chr3	9880254	9866711	+	CIDEC
Adipose-Visceral	Endothelial Cells	chr12	6124770	5948874	+	VWF
Adipose-Visceral	Endothelial Cells	chr9	136658856	136672678	-	EGFL7
Adipose-Visceral	Endothelial Cells	chr22	19527545	19523024	+	CLDN5
Adipose-Visceral	Fibroblasts	chr12	91183123	91140484	+	DCN
Adipose-Visceral	Fibroblasts	chr12	91111831	91102629	+	LUM
Adipose-Visceral	Fibroblasts	chr1	53062052	53085502	-	PODN
Adipose-Visceral	Mesothelial Cells	chr19	51723994	51713112	+	HAS1
Adipose-Visceral	Mesothelial Cells	chr11	32435630	32387775	+	WT1
Adipose-Visceral	Mural Cells	chr1	34792998	34795747	-	GJA4
Adipose-Visceral	Mural Cells	chr17	44846353	44850480	-	HIGD1B
Adipose-Visceral	Myeloid / Macrophage	chr1	22652762	22661538	-	C1QB
Adipose-Visceral	Myeloid / Macrophage	chr1	22643630	22648110	-	C1QC
Adipose-Visceral	Myeloid / Macrophage	chr1	22636506	22639608	-	C1QA
Adipose-Visceral	T Lymphocyte	chr12	68159747	68154768	+	IFNG
Adipose-Visceral	T Lymphocyte	chr5	55102648	55110252	-	GZMA
Artery-Aorta	Endothelial Cells	chr9	136658856	136672678	-	EGFL7
Artery-Aorta	Endothelial Cells	chr12	6124770	5948874	+	VWF
Artery-Aorta	Endothelial Cells	chr22	19527545	19523024	+	CLDN5
Artery-Aorta	Fibroblasts	chr12	91183123	91140484	+	DCN
Artery-Aorta	Fibroblasts	chr1	53062052	53085502	-	PODN
Artery-Aorta	Fibroblasts	chr12	91111831	91102629	+	LUM
Artery-Aorta	Myeloid / Macrophage	chr1	22643630	22648110	-	C1QC
Artery-Aorta	Myeloid / Macrophage	chr1	22636506	22639608	-	C1QA
Artery-Aorta	Myeloid / Macrophage	chr1	22652762	22661538	-	C1QB
Artery-Aorta	T Lymphocyte	chr11	118342744	118338954	+	CD3D
Artery-Aorta	T Lymphocyte	chr5	55102648	55110252	-	GZMA
Artery-Aorta	T Lymphocyte	chr12	68159747	68154768	+	IFNG
Artery-Aorta	Vascular Smooth Muscle Cells	chr3	123884331	123610049	+	MYLK
Artery-Aorta	Vascular Smooth Muscle Cells	chr16	86567251	86569728	-	FOXC2
Brain	Astrocytes	chr18	7117814	6941744	+	LAMA1
Brain	Astrocytes	chr3	13880121	13816258	+	WNT7A
Brain	Endothelial Cells	chr9	136658856	136672678	-	EGFL7
Brain	Endothelial Cells	chr22	19527545	19523024	+	CLDN5
Brain	Myeloid / Macrophage	chr1	22652762	22661538	-	C1QB
Brain	Myeloid / Macrophage	chr1	22643630	22648110	-	C1QC
Brain	Myeloid / Macrophage	chr1	22636506	22639608	-	C1QA
